HistoricalDate,Index Name,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
2016-11-02,Nifty Bank,Nifty Bank,19223.5,19296.55,19158.75,19227.00
2016-11-03,Nifty Bank,Nifty Bank,19201.95,19319.65,19119.3,19178.00
2016-11-04,Nifty Bank,Nifty Bank,19223.85,19223.9,18961.15,19058.00
2016-11-07,Nifty Bank,Nifty Bank,19317.85,19378,19233,19356.00
2016-11-08,Nifty Bank,Nifty Bank,19490.75,19549.45,19322.15,19500.00
2016-11-09,Nifty Bank,Nifty Bank,18270.9,19587.8,18143.7,19518.00
2016-11-10,Nifty Bank,Nifty Bank,19827.5,20283.15,19787.45,20200.00
2016-11-11,Nifty Bank,Nifty Bank,20033.85,20309.65,19704.35,19738.00
2016-11-15,Nifty Bank,Nifty Bank,19808.35,19861.75,19240.45,19289.00
2016-11-16,Nifty Bank,Nifty Bank,19591.25,19611.9,19088.4,19108.00
2016-11-17,Nifty Bank,Nifty Bank,19115.9,19328.75,19009.85,19087.00
2016-11-18,Nifty Bank,Nifty Bank,19180.3,19216.35,18897.1,18959.00
2016-11-21,Nifty Bank,Nifty Bank,19063.8,19075.95,18351.25,18446.00
2016-11-22,Nifty Bank,Nifty Bank,18626.7,18650.5,18322.7,18548.00
2016-11-23,Nifty Bank,Nifty Bank,18660.55,18669.05,18449.7,18540.00
2016-11-24,Nifty Bank,Nifty Bank,18476,18476.35,18215.8,18256.00
2016-11-25,Nifty Bank,Nifty Bank,18377.55,18546.35,18266.6,18507.00
2016-11-28,Nifty Bank,Nifty Bank,18237.2,18471.65,18187.4,18301.00
2016-11-29,Nifty Bank,Nifty Bank,18308.8,18427.4,18188.7,18223.00
2016-11-30,Nifty Bank,Nifty Bank,18306.1,18667.85,18262.5,18627.00
2016-12-01,Nifty Bank,Nifty Bank,18676.75,18713.1,18389.65,18428.00
2016-12-02,Nifty Bank,Nifty Bank,18329.4,18490.5,18163.8,18247.00
2016-12-05,Nifty Bank,Nifty Bank,18245,18434.25,18189.5,18408.00
2016-12-06,Nifty Bank,Nifty Bank,18459.7,18499.75,18365.95,18420.00
2016-12-07,Nifty Bank,Nifty Bank,18515.5,18588.75,17952.6,18234.00
2016-12-08,Nifty Bank,Nifty Bank,18342.6,18558.75,18336.95,18515.00
2016-12-09,Nifty Bank,Nifty Bank,18567.95,18739.65,18432.3,18695.00
2016-12-12,Nifty Bank,Nifty Bank,18616.05,18616.05,18364.05,18392.00
